iter	Passed	Remaining
0	66	66181
1	89	44678
2	111	36988
3	128	31894
4	153	30562
5	185	30713
6	209	29697
7	229	28503
8	251	27642
9	276	27374
10	312	28059
11	335	27591
12	354	26878
13	382	26951
14	397	26076
15	420	25848
16	446	25820
17	464	25362
18	491	25378
19	510	25004
20	529	24700
21	549	24447
22	566	24044
23	590	24003
24	604	23594
25	627	23511
26	649	23389
27	673	23388
28	703	23570
29	731	23640
30	760	23775
31	785	23766
32	805	23609
33	837	23787
34	861	23743
35	881	23592
36	911	23731
37	965	24434
38	982	24212
39	1009	24239
40	1037	24277
41	1068	24373
42	1090	24271
43	1117	24276
44	1136	24110
45	1160	24073
46	1185	24032
47	1214	24089
48	1240	24067
49	1258	23909
50	1285	23921
51	1312	23936
52	1341	23963
53	1352	23700
54	1377	23668
55	1397	23553
56	1423	23544
57	1449	23539
58	1475	23530
59	1489	23341
60	1516	23339
61	1545	23379
62	1573	23404
63	1593	23299
64	1624	23363
65	1642	23247
66	1669	23251
67	1687	23128
68	1714	23135
69	1745	23184
70	1776	23247
71	1801	23216
72	1832	23271
73	1899	23771
74	1957	24146
75	1990	24198
76	2022	24245
77	2064	24405
78	2097	24454
79	2118	24367
80	2167	24597
81	2209	24735
82	2230	24647
83	2260	24653
84	2302	24786
85	2340	24879
86	2379	24968
87	2384	24709
88	2461	25192
89	2500	25286
90	2523	25207
91	2569	25357
92	2615	25513
93	2651	25553
94	2701	25735
95	2729	25703
96	2774	25827
97	2811	25880
98	2858	26016
99	2887	25987
100	2922	26008
101	2962	26085
102	2982	25972
103	3031	26116
104	3078	26243
105	3101	26161
106	3146	26261
107	3194	26381
108	3224	26355
109	3283	26568
110	3346	26798
111	3408	27024
112	3461	27167
113	3506	27256
114	3539	27235
115	3582	27297
116	3633	27419
117	3674	27467
118	3694	27354
119	3725	27321
120	3757	27294
121	3784	27238
122	3802	27111
123	3820	26987
124	3848	26936
125	3946	27374
126	3986	27402
127	4037	27504
128	4095	27653
129	4122	27587
130	4151	27536
131	4168	27411
132	4206	27422
133	4261	27538
134	4343	27833
135	4386	27865
136	4431	27917
137	4470	27924
138	4499	27868
139	4534	27853
140	4556	27762
141	4594	27761
142	4629	27747
143	4655	27676
144	4688	27646
145	4708	27543
146	4734	27471
147	4763	27424
148	4777	27288
149	4803	27219
150	4835	27188
151	4859	27112
152	4910	27183
153	4921	27036
154	4956	27023
155	4985	26972
156	5017	26940
157	5029	26804
158	5062	26778
159	5088	26715
160	5110	26629
161	5141	26596
162	5176	26582
163	5197	26495
164	5237	26503
165	5277	26514
166	5300	26438
167	5320	26350
168	5351	26313
169	5378	26258
170	5393	26148
171	5418	26086
172	5429	25953
173	5448	25862
174	5482	25847
175	5528	25881
176	5555	25833
177	5575	25748
178	5613	25747
179	5638	25686
180	5666	25641
181	5698	25612
182	5724	25558
183	5770	25590
184	5788	25502
185	5817	25457
186	5856	25462
187	5899	25479
188	5928	25441
189	5956	25392
190	5975	25308
191	5998	25244
192	6018	25164
193	6045	25118
194	6073	25072
195	6092	24990
196	6115	24925
197	6136	24857
198	6159	24791
199	6186	24747
200	6217	24717
201	6244	24668
202	6262	24586
203	6297	24571
204	6320	24512
205	6352	24485
206	6376	24429
207	6395	24353
208	6416	24283
209	6443	24238
210	6470	24195
211	6496	24148
212	6514	24071
213	6535	24003
214	6562	23960
215	6573	23860
216	6589	23775
217	6610	23713
218	6626	23630
219	6650	23578
220	6680	23546
221	6704	23497
222	6725	23433
223	6758	23414
224	6773	23332
225	6818	23352
226	6842	23300
227	6858	23222
228	6878	23159
229	6898	23095
230	6924	23052
231	6951	23010
232	6971	22950
233	6989	22879
234	7013	22830
235	7037	22783
236	7063	22739
237	7081	22673
238	7104	22623
239	7128	22574
240	7146	22508
241	7176	22478
242	7194	22413
243	7223	22380
244	7247	22334
245	7267	22274
246	7294	22237
247	7320	22197
248	7347	22159
249	7372	22117
250	7390	22052
251	7415	22009
252	7441	21970
253	7472	21947
254	7503	21921
255	7526	21873
256	7548	21824
257	7562	21748
258	7591	21718
259	7611	21662
260	7633	21612
261	7660	21577
262	7688	21545
263	7731	21554
264	7772	21557
265	7814	21562
266	7835	21512
267	7861	21472
268	7874	21398
269	7902	21366
270	7934	21345
271	7959	21304
272	7979	21250
273	8001	21201
274	8025	21156
275	8053	21126
276	8093	21125
277	8119	21086
278	8148	21056
279	8173	21016
280	8210	21008
281	8226	20945
282	8244	20888
283	8270	20851
284	8302	20828
285	8334	20806
286	8370	20795
287	8417	20810
288	8434	20750
289	8455	20700
290	8470	20638
291	8499	20607
292	8519	20558
293	8537	20501
294	8552	20438
295	8580	20406
296	8603	20364
297	8623	20313
298	8649	20278
299	8679	20253
300	8691	20184
301	8725	20167
302	8759	20149
303	8785	20113
304	8814	20084
305	8844	20058
306	8866	20015
307	8892	19980
308	8916	19938
309	8937	19893
310	8957	19845
311	8980	19803
312	8999	19752
313	9021	19709
314	9034	19647
315	9051	19591
316	9075	19554
317	9096	19508
318	9120	19470
319	9139	19421
320	9165	19388
321	9189	19349
322	9216	19317
323	9245	19290
324	9266	19246
325	9294	19216
326	9322	19185
327	9343	19143
328	9366	19103
329	9389	19063
330	9414	19028
331	9430	18975
332	9452	18934
333	9483	18911
334	9498	18854
335	9514	18802
336	9540	18770
337	9567	18738
338	9596	18712
339	9622	18679
340	9643	18636
341	9668	18602
342	9698	18577
343	9718	18532
344	9738	18489
345	9756	18441
346	9785	18415
347	9807	18374
348	9832	18340
349	9854	18300
350	9875	18258
351	9897	18219
352	9916	18176
353	9945	18148
354	9970	18115
355	9992	18075
356	10016	18041
357	10041	18007
358	10073	17985
359	10096	17949
360	10131	17933
361	10169	17922
362	10202	17904
363	10235	17883
364	10264	17857
365	10300	17842
366	10315	17792
367	10331	17743
368	10360	17716
369	10387	17687
370	10414	17656
371	10430	17607
372	10460	17583
