iter	Passed	Remaining
0	108	107894
1	128	64094
2	143	47847
3	163	40587
4	183	36582
5	201	33438
6	214	30493
7	227	28155
8	239	26355
9	252	24979
10	262	23616
11	275	22690
12	294	22378
13	305	21539
14	318	20904
15	330	20318
16	348	20178
17	360	19677
18	377	19492
19	390	19123
20	404	18879
21	421	18731
22	441	18736
23	454	18481
24	466	18198
25	481	18048
26	493	17790
27	506	17574
28	520	17420
29	538	17405
30	555	17354
31	571	17295
32	587	17223
33	602	17121
34	619	17090
35	637	17068
36	652	16971
37	670	16984
38	686	16908
39	703	16874
40	721	16866
41	736	16808
42	753	16771
43	771	16771
44	789	16749
45	803	16658
46	822	16685
47	842	16700
48	860	16691
49	874	16606
50	889	16545
51	904	16488
52	920	16452
53	944	16550
54	959	16484
55	977	16476
56	995	16475
57	1010	16416
58	1030	16437
59	1047	16404
60	1065	16405
61	1086	16433
62	1102	16399
63	1119	16368
64	1135	16338
65	1153	16317
66	1171	16317
67	1187	16280
68	1205	16270
69	1225	16275
70	1240	16230
71	1255	16180
72	1271	16143
73	1288	16122
74	1317	16245
75	1339	16287
76	1386	16615
77	1402	16580
78	1419	16554
79	1439	16557
80	1458	16550
81	1476	16526
82	1495	16523
83	1518	16556
84	1544	16629
85	1564	16628
86	1585	16638
87	1603	16613
88	1620	16584
89	1636	16543
90	1651	16497
91	1668	16467
92	1684	16428
93	1700	16387
94	1715	16340
95	1732	16311
96	1751	16301
97	1767	16268
98	1783	16233
99	1801	16211
100	1822	16223
101	1858	16358
102	1893	16486
103	1911	16467
104	1926	16421
105	1944	16403
106	1961	16370
107	1976	16328
108	1996	16323
109	2014	16303
110	2032	16278
111	2049	16247
112	2065	16216
113	2085	16205
114	2102	16182
115	2119	16149
116	2134	16112
117	2151	16083
118	2168	16056
119	2187	16042
120	2205	16022
121	2222	15991
122	2240	15974
123	2257	15950
124	2274	15919
125	2289	15879
126	2303	15834
127	2305	15704
128	2319	15661
129	2333	15613
130	2349	15588
131	2365	15553
132	2380	15521
133	2396	15487
134	2415	15474
