iter	Passed	Remaining
0	73	73753
1	97	48793
2	135	44949
3	163	40598
4	190	37939
5	223	37011
6	248	35225
7	271	33716
8	294	32481
9	317	31422
10	340	30582
11	369	30415
12	398	30279
13	427	30091
14	440	28913
15	454	27979
16	482	27873
17	506	27613
18	535	27660
19	552	27092
20	576	26861
21	596	26530
22	614	26093
23	642	26121
24	655	25565
25	679	25442
26	704	25399
27	727	25241
28	753	25227
29	811	26238
30	860	26883
31	885	26775
32	910	26671
33	963	27375
34	1023	28229
35	1070	28678
36	1118	29123
37	1165	29493
38	1221	30087
39	1278	30690
40	1344	31446
41	1400	31947
42	1463	32561
43	1521	33061
44	1590	33753
45	1702	35315
46	1725	34983
47	1757	34861
48	1811	35164
49	1873	35595
50	1909	35535
51	1950	35555
52	1979	35364
53	1995	34951
54	2022	34755
55	2058	34700
56	2090	34578
57	2108	34242
58	2135	34054
59	2155	33771
60	2179	33554
61	2205	33374
62	2231	33194
63	2252	32936
64	2292	32977
65	2321	32859
66	2340	32598
67	2370	32494
68	2402	32414
69	2433	32331
70	2464	32246
71	2496	32180
72	2527	32094
73	2554	31964
74	2599	32059
75	2614	31791
76	2643	31685
77	2660	31454
78	2684	31299
79	2705	31108
80	2729	30964
81	2747	30760
82	2769	30596
83	2787	30397
84	2818	30345
85	2853	30324
86	2874	30161
87	2886	29913
88	2937	30072
89	2961	29941
90	2999	29961
91	3039	29998
92	3074	29980
93	3108	29957
94	3132	29840
95	3153	29693
96	3187	29671
97	3216	29607
98	3251	29594
99	3282	29545
100	3312	29488
101	3338	29388
102	3355	29218
103	3375	29080
104	3397	28956
105	3416	28814
106	3432	28643
107	3457	28557
108	3482	28464
109	3507	28378
110	3531	28286
111	3559	28220
112	3577	28077
113	3603	28003
114	3626	27904
115	3652	27837
116	3677	27752
117	3696	27627
118	3715	27510
119	3729	27349
120	3744	27201
121	3778	27192
122	3800	27096
123	3815	26954
124	3846	26926
125	3879	26907
126	3909	26875
127	3925	26739
128	3958	26727
129	3990	26707
130	4024	26695
131	4046	26610
132	4070	26534
133	4093	26456
134	4113	26354
135	4143	26323
136	4160	26209
137	4187	26156
138	4221	26151
139	4243	26068
140	4265	25987
141	4287	25905
142	4311	25838
143	4329	25735
144	4345	25626
145	4379	25614
146	4410	25592
147	4444	25583
148	4459	25470
149	4485	25415
150	4516	25394
151	4543	25346
152	4576	25336
153	4598	25261
154	4615	25162
155	4637	25092
156	4664	25044
157	4684	24964
158	4722	24978
159	4741	24890
160	4759	24803
161	4783	24743
162	4814	24720
163	4849	24721
164	4881	24705
165	4916	24703
166	4937	24626
167	4962	24575
168	4983	24505
169	5007	24449
170	5022	24350
171	5046	24295
172	5060	24189
173	5086	24148
174	5111	24096
175	5148	24102
176	5210	24228
177	5235	24176
178	5265	24152
179	5299	24139
180	5338	24153
181	5371	24141
182	5392	24074
183	5418	24028
184	5447	23997
185	5468	23932
186	5504	23929
187	5530	23887
188	5558	23852
189	5578	23781
190	5605	23744
191	5634	23710
192	5672	23718
193	5701	23688
194	5735	23676
