iter	Passed	Remaining
0	75	75331
1	100	49966
2	120	40168
3	146	36464
4	169	33753
5	199	32989
6	224	31803
7	243	30224
8	270	29809
9	302	29954
10	332	29862
11	362	29836
12	395	29997
13	421	29669
14	445	29222
15	462	28424
16	493	28515
17	515	28138
18	535	27626
19	548	26872
20	571	26663
21	586	26067
22	608	25868
23	625	25453
24	646	25208
25	677	25391
26	708	25547
27	732	25434
28	760	25478
29	790	25574
30	823	25755
31	855	25888
32	876	25685
33	906	25749
34	940	25918
35	978	26194
36	1011	26325
37	1045	26458
38	1073	26449
39	1093	26248
40	1120	26212
41	1151	26273
42	1183	26346
43	1212	26345
44	1241	26355
45	1274	26440
46	1309	26554
47	1344	26657
48	1368	26562
49	1393	26478
50	1421	26444
51	1449	26430
52	1483	26498
53	1501	26305
54	1526	26228
55	1559	26290
56	1587	26265
57	1613	26198
58	1649	26300
59	1662	26053
60	1695	26098
61	1721	26047
62	1749	26014
63	1771	25910
64	1810	26041
65	1836	25984
66	1857	25872
67	1881	25784
68	1900	25648
69	1921	25531
70	1945	25457
71	1983	25560
72	2021	25669
73	2040	25528
74	2068	25513
75	2093	25448
76	2138	25637
77	2173	25695
78	2196	25609
79	2222	25559
80	2257	25616
81	2278	25508
82	2301	25424
83	2322	25323
84	2352	25328
85	2380	25301
86	2401	25205
87	2413	25014
88	2446	25043
89	2467	24953
90	2487	24850
91	2512	24802
92	2538	24759
93	2564	24721
94	2594	24715
95	2620	24676
96	2638	24564
97	2667	24548
98	2694	24525
99	2732	24594
100	2757	24543
101	2782	24499
102	2799	24383
103	2822	24317
104	2848	24282
105	2874	24241
106	2901	24218
107	2922	24135
108	2953	24142
109	2988	24179
110	3022	24203
111	3045	24145
112	3073	24122
113	3096	24065
114	3127	24068
115	3166	24128
116	3196	24122
117	3217	24051
118	3242	24008
119	3277	24035
120	3301	23982
121	3335	24008
122	3362	23977
123	3378	23870
124	3423	23963
125	3457	23984
126	3493	24015
127	3520	23981
128	3553	23989
129	3583	23982
130	3614	23978
131	3651	24008
132	3677	23973
133	3700	23912
134	3728	23892
135	3762	23902
136	3793	23894
137	3821	23870
138	3866	23950
139	3891	23901
140	3926	23923
141	3958	23918
142	3987	23895
143	4017	23879
144	4042	23835
145	4092	23937
146	4119	23903
147	4142	23850
148	4158	23752
149	4214	23884
150	4273	24026
151	4321	24111
152	4362	24151
153	4389	24111
154	4415	24069
155	4432	23981
156	4457	23935
157	4503	23997
158	4571	24178
159	4611	24210
160	4651	24241
161	4698	24304
162	4724	24259
163	4764	24289
164	4798	24285
165	4853	24384
166	4916	24524
167	4943	24481
168	4984	24511
169	5017	24497
170	5060	24531
171	5090	24505
172	5133	24541
173	5177	24579
174	5212	24575
175	5244	24553
176	5278	24541
177	5307	24510
178	5336	24475
179	5369	24459
180	5395	24411
181	5431	24413
182	5467	24411
183	5500	24391
184	5531	24370
185	5562	24345
186	5592	24314
187	5623	24290
188	5655	24266
189	5680	24215
190	5710	24187
191	5741	24163
192	5796	24235
193	5824	24197
194	5857	24181
195	5878	24112
196	5908	24085
197	5954	24118
198	5981	24077
199	6013	24054
200	6049	24046
201	6077	24010
202	6101	23954
203	6134	23935
204	6167	23918
205	6222	23982
206	6255	23962
207	6288	23946
208	6309	23878
209	6346	23874
210	6371	23825
211	6408	23820
212	6437	23786
213	6457	23716
214	6483	23672
215	6500	23595
216	6524	23540
217	6540	23463
218	6574	23445
219	6604	23414
220	6652	23449
221	6682	23418
222	6724	23431
223	6764	23435
224	6782	23360
225	6816	23346
226	6842	23301
227	6860	23229
228	6879	23162
229	6900	23102
230	6929	23068
231	6948	23002
232	6968	22939
233	6987	22874
234	7014	22836
235	7036	22780
236	7084	22806
237	7111	22767
238	7126	22690
239	7154	22657
240	7186	22633
241	7223	22626
242	7241	22560
243	7265	22510
244	7300	22496
245	7324	22448
246	7353	22417
247	7390	22410
248	7425	22394
249	7441	22325
250	7465	22276
251	7491	22235
252	7512	22182
253	7545	22161
254	7563	22098
255	7583	22039
256	7618	22026
257	7665	22044
258	7697	22021
259	7721	21976
260	7753	21952
261	7795	21959
262	7826	21931
263	7853	21894
264	7873	21837
265	7899	21798
266	7925	21758
267	7952	21720
268	7978	21680
269	8000	21631
270	8026	21591
271	8048	21540
272	8076	21506
273	8112	21494
274	8157	21504
275	8192	21490
276	8235	21495
277	8287	21523
278	8330	21527
279	8378	21545
280	8410	21521
281	8440	21490
282	8468	21455
283	8512	21460
284	8545	21439
285	8570	21396
286	8600	21365
287	8643	21368
288	8696	21394
289	8727	21367
290	8763	21350
291	8807	21354
292	8854	21365
293	8898	21367
294	8922	21323
295	8945	21274
296	8972	21238
297	8999	21200
298	9035	21182
299	9087	21204
300	9122	21184
301	9156	21163
302	9197	21157
303	9227	21125
304	9257	21095
305	9290	21071
306	9322	21044
307	9351	21010
308	9376	20968
309	9409	20942
310	9447	20931
311	9477	20899
312	9507	20867
313	9525	20809
314	9566	20804
315	9586	20749
316	9618	20723
317	9634	20662
318	9653	20608
319	9670	20549
320	9696	20510
321	9722	20472
322	9752	20441
323	9776	20398
324	9809	20372
325	9835	20333
326	9858	20290
327	9897	20277
328	9910	20213
329	9929	20159
330	9960	20131
331	9984	20089
332	10012	20055
333	10051	20042
334	10072	19994
335	10094	19949
336	10113	19897
337	10141	19862
338	10159	19810
339	10193	19787
340	10231	19773
341	10263	19747
342	10305	19740
343	10329	19697
344	10360	19670
345	10382	19624
346	10419	19607
347	10439	19558
348	10455	19502
349	10505	19510
350	10544	19497
351	10570	19459
352	10624	19473
353	10651	19437
354	10694	19431
355	10721	19395
356	10748	19359
357	10790	19349
358	10818	19316
359	10847	19284
360	10895	19286
361	10925	19256
362	10955	19225
363	10984	19192
364	11021	19174
365	11048	19138
366	11081	19112
367	11096	19057
368	11128	19030
369	11155	18994
370	11200	18990
371	11219	18940
372	11250	18911
