iter	Passed	Remaining
0	198	197866
1	219	109382
2	227	75579
3	236	58901
4	245	48806
5	252	41859
6	261	37077
7	271	33689
8	279	30728
9	287	28440
10	294	26482
11	301	24844
12	309	23485
13	317	22344
14	324	21285
15	331	20397
16	339	19622
17	346	18928
18	354	18278
19	361	17698
20	368	17156
21	375	16714
22	383	16283
23	392	15961
24	403	15723
25	415	15574
26	424	15305
27	431	14985
28	439	14729
29	447	14482
30	455	14239
31	464	14045
32	471	13816
33	481	13667
34	489	13505
35	498	13349
36	505	13163
37	514	13023
38	522	12875
39	532	12768
40	542	12691
41	551	12582
42	559	12441
43	567	12323
44	575	12207
45	583	12091
46	592	12008
47	600	11900
48	608	11811
49	615	11700
50	622	11591
51	629	11468
52	636	11367
53	644	11289
54	652	11207
55	660	11127
56	668	11053
57	676	10979
58	684	10909
59	691	10840
60	699	10775
61	707	10704
62	715	10640
63	723	10576
64	731	10517
65	739	10461
66	746	10402
67	754	10334
68	762	10282
69	770	10232
70	777	10177
71	785	10120
72	791	10056
73	799	10007
74	807	9961
75	815	9919
76	823	9866
77	830	9821
78	838	9780
79	847	9740
80	853	9686
81	862	9653
82	869	9606
83	878	9584
84	889	9577
85	898	9547
86	909	9543
87	929	9633
88	951	9741
89	963	9745
90	972	9713
91	980	9674
92	988	9637
93	995	9597
94	1004	9573
95	1012	9532
96	1020	9504
97	1027	9459
98	1039	9462
99	1047	9430
100	1069	9521
101	1085	9553
102	1095	9540
103	1104	9515
104	1113	9492
105	1120	9449
106	1129	9424
107	1136	9388
108	1145	9363
109	1153	9332
110	1161	9302
111	1169	9270
112	1176	9237
113	1183	9201
114	1191	9173
115	1199	9137
116	1207	9110
117	1215	9082
118	1223	9056
119	1231	9030
120	1239	9006
121	1248	8986
122	1256	8959
123	1265	8937
124	1272	8910
125	1281	8888
126	1288	8855
127	1297	8838
128	1305	8811
129	1313	8787
130	1321	8764
131	1330	8751
132	1343	8756
133	1350	8729
134	1361	8723
135	1370	8703
136	1378	8683
137	1387	8664
138	1395	8643
139	1403	8622
140	1411	8598
141	1419	8578
142	1427	8554
143	1434	8529
144	1442	8504
145	1450	8482
146	1458	8460
147	1465	8437
148	1473	8414
149	1481	8396
150	1488	8369
151	1497	8352
152	1505	8333
153	1512	8308
154	1520	8286
155	1529	8272
156	1537	8256
157	1545	8238
158	1554	8221
159	1561	8200
160	1570	8185
161	1578	8166
162	1587	8149
163	1594	8128
164	1602	8111
165	1609	8086
166	1617	8069
167	1624	8046
168	1632	8024
169	1639	8003
170	1647	7987
171	1655	7971
172	1664	7954
173	1672	7938
174	1680	7923
175	1705	7984
176	1715	7976
177	1726	7971
178	1733	7948
179	1741	7932
180	1749	7915
181	1756	7896
182	1765	7881
183	1773	7866
184	1791	7891
185	1804	7898
186	1835	7982
187	1849	7988
188	1861	7987
189	1871	7978
190	1883	7979
191	1893	7967
192	1915	8009
193	1925	7999
194	1934	7986
195	1944	7974
196	1951	7953
197	1959	7936
198	1967	7917
199	1975	7900
200	1983	7882
201	1990	7864
202	1999	7851
203	2007	7833
204	2015	7816
205	2022	7795
206	2030	7777
207	2038	7760
208	2047	7747
209	2054	7729
210	2063	7715
211	2070	7697
212	2079	7684
213	2088	7670
214	2096	7654
215	2104	7638
216	2112	7622
217	2120	7605
218	2128	7591
219	2136	7573
220	2143	7555
221	2151	7539
222	2158	7521
223	2166	7504
224	2173	7487
225	2182	7473
226	2189	7456
227	2198	7442
228	2205	7427
229	2214	7412
230	2221	7396
231	2230	7383
232	2237	7366
233	2245	7351
234	2253	7334
235	2261	7321
236	2269	7306
237	2278	7295
238	2292	7300
239	2299	7281
240	2309	7272
241	2328	7294
242	2337	7282
243	2346	7271
244	2355	7257
245	2362	7240
246	2369	7223
247	2376	7205
248	2384	7193
249	2392	7177
250	2399	7159
251	2406	7142
252	2413	7127
253	2421	7110
254	2428	7096
255	2435	7078
256	2443	7065
257	2450	7048
258	2458	7032
259	2467	7022
260	2475	7009
261	2483	6995
262	2492	6983
263	2500	6969
264	2507	6955
265	2515	6940
266	2522	6924
267	2530	6911
268	2538	6899
269	2546	6884
270	2554	6871
271	2562	6858
272	2569	6842
273	2577	6828
274	2585	6815
275	2593	6802
276	2601	6789
277	2608	6775
278	2617	6763
279	2626	6755
280	2634	6741
281	2643	6729
282	2653	6722
283	2663	6714
284	2671	6703
285	2679	6688
286	2687	6676
287	2694	6660
288	2702	6649
289	2712	6641
290	2722	6633
291	2738	6640
292	2747	6630
293	2772	6658
294	2789	6666
295	2805	6672
296	2812	6658
297	2821	6646
298	2830	6636
299	2838	6622
300	2852	6623
301	2863	6618
302	2874	6611
303	2881	6596
304	2890	6586
305	2899	6576
306	2907	6563
307	2918	6556
308	2925	6542
309	2935	6534
310	2942	6519
311	2952	6510
312	2960	6497
313	2969	6486
314	2977	6475
315	2985	6461
316	2993	6450
317	3000	6435
318	3007	6421
319	3014	6406
320	3023	6395
321	3036	6392
322	3047	6387
323	3055	6376
324	3062	6361
325	3070	6348
326	3078	6335
327	3086	6324
328	3094	6310
329	3104	6302
330	3111	6289
331	3120	6277
332	3127	6263
333	3130	6242
334	3137	6227
335	3144	6214
336	3151	6200
337	3160	6189
338	3166	6173
339	3173	6159
340	3178	6143
341	3186	6130
342	3189	6109
343	3196	6095
344	3204	6083
345	3211	6071
346	3220	6059
347	3226	6045
348	3233	6031
349	3240	6018
350	3247	6004
351	3255	5993
352	3262	5978
353	3269	5966
354	3277	5954
355	3284	5942
356	3290	5926
357	3298	5914
358	3305	5902
359	3312	5889
360	3319	5876
361	3327	5865
362	3335	5853
363	3343	5842
364	3350	5829
365	3359	5819
366	3366	5805
367	3374	5794
368	3381	5782
369	3389	5770
370	3396	5758
371	3404	5746
372	3411	5735
373	3420	5724
374	3427	5712
375	3435	5700
376	3442	5689
377	3450	5678
378	3458	5666
379	3466	5655
380	3474	5644
381	3483	5635
382	3490	5623
383	3498	5612
384	3505	5599
385	3513	5588
386	3517	5572
387	3524	5559
388	3532	5548
389	3541	5538
390	3549	5528
391	3560	5522
392	3568	5511
393	3576	5500
394	3585	5492
395	3592	5479
396	3602	5471
397	3609	5460
398	3635	5475
399	3651	5476
400	3659	5465
401	3675	5467
402	3684	5457
403	3691	5446
404	3699	5435
405	3706	5423
406	3715	5413
407	3722	5401
408	3729	5389
409	3738	5379
410	3745	5367
411	3754	5358
412	3761	5346
413	3770	5337
414	3780	5328
415	3788	5318
416	3796	5307
417	3805	5298
418	3813	5288
419	3823	5280
420	3831	5269
421	3839	5258
422	3847	5248
423	3856	5239
424	3864	5228
425	3871	5216
426	3879	5206
427	3887	5195
428	3897	5187
429	3904	5175
430	3912	5165
431	3919	5153
432	3927	5143
433	3936	5134
434	3945	5124
435	3953	5114
436	3962	5105
437	3970	5095
438	3980	5087
439	3988	5076
440	3997	5067
441	4014	5067
442	4021	5056
443	4028	5045
444	4036	5034
445	4043	5023
446	4051	5012
447	4058	5000
